CgST,CgST,lpg0028,lpg0078,lpg0116,lpg0212,lpg0287,lpg0330,lpg0356,lpg0432,lpg0461,lpg0513,lpg0577,lpg0656,lpg0712,lpg0785,lpg0840,lpg0888,lpg0956,lpg1178,lpg1206,lpg1283,lpg1340,lpg1398,lpg1452,lpg1511,lpg1566,lpg1636,lpg1682,lpg1737,lpg1782,lpg1830,lpg1882,lpg1994,lpg2039,lpg2175,lpg2231,lpg2280,lpg2339,lpg2404,lpg2461,lpg2516,lpg2577,lpg2622,lpg2698,lpg2743,lpg2795,lpg2827,lpg2869,lpg2933,lpg2999
129,129,14.0,11.0,20.0,11.0,28.0,7.0,21.0,33.0,39.0,21.0,7.0,7.0,7.0,26.0,36.0,23.0,12.0,5.0,2.0,33.0,9.0,2.0,10.0,11.0,42.0,3.0,14.0,47.0,5.0,34.0,7.0,7.0,46.0,6.0,10.0,27.0,3.0,28.0,3.0,37.0,47.0,8.0,51.0,10.0,2.0,6.0,34.0,41.0,44.0
130,130,31.0,1.0,49.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,22.0,1.0,33.0,5.0,7.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
131,131,15.0,8.0,20.0,11.0,5.0,7.0,21.0,3.0,2.0,22.0,10.0,6.0,7.0,39.0,3.0,1.0,12.0,5.0,2.0,32.0,9.0,2.0,9.0,10.0,41.0,3.0,5.0,29.0,5.0,7.0,5.0,7.0,47.0,4.0,9.0,24.0,3.0,28.0,3.0,39.0,46.0,8.0,10.0,10.0,2.0,14.0,26.0,5.0,6.0
132,132,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,10.0,7.0,7.0,35.0,7.0,6.0,6.0,14.0,5.0,8.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,40.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
133,133,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,17.0,30.0,7.0,34.0,10.0,13.0,7.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
134,134,20.0,40.0,32.0,59.0,19.0,10.0,5.0,23.0,23.0,33.0,17.0,31.0,33.0,39.0,47.0,30.0,12.0,17.0,10.0,44.0,44.0,33.0,26.0,31.0,56.0,22.0,34.0,39.0,9.0,41.0,25.0,4.0,37.0,19.0,6.0,30.0,9.0,14.0,9.0,21.0,54.0,15.0,23.0,37.0,34.0,55.0,14.0,53.0,2.0
135,135,17.0,42.0,33.0,44.0,31.0,10.0,5.0,12.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,8.0,12.0,20.0,10.0,6.0,45.0,38.0,14.0,27.0,57.0,32.0,22.0,6.0,10.0,44.0,25.0,4.0,5.0,6.0,41.0,31.0,33.0,22.0,9.0,21.0,52.0,17.0,23.0,4.0,17.0,51.0,14.0,49.0,13.0
136,136,11.0,5.0,14.0,50.0,8.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,20.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,13.0,9.0,27.0,53.0,15.0,6.0,4.0,18.0,8.0,7.0,8.0,1.0
137,137,8.0,5.0,13.0,50.0,8.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,43.0,5.0,7.0,9.0,20.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,13.0,9.0,27.0,53.0,15.0,6.0,5.0,6.0,8.0,7.0,8.0,1.0
138,138,39.0,57.0,8.0,62.0,14.0,31.0,2.0,38.0,46.0,5.0,15.0,17.0,21.0,18.0,28.0,1.0,51.0,32.0,35.0,14.0,17.0,63.0,59.0,22.0,16.0,45.0,30.0,32.0,16.0,14.0,33.0,48.0,15.0,13.0,18.0,43.0,15.0,46.0,22.0,6.0,13.0,38.0,57.0,27.0,8.0,18.0,1.0,59.0,8.0
139,139,11.0,5.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,7.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,34.0,3.0,3.0,35.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,45.0,1.0
140,140,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,52.0,6.0,45.0,5.0,7.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,3.0,5.0,1.0,17.0,4.0,5.0
141,141,9.0,14.0,34.0,41.0,34.0,4.0,9.0,24.0,6.0,36.0,17.0,54.0,5.0,39.0,6.0,3.0,12.0,20.0,10.0,7.0,45.0,8.0,14.0,27.0,59.0,4.0,24.0,6.0,10.0,43.0,23.0,4.0,5.0,6.0,6.0,32.0,9.0,22.0,9.0,27.0,53.0,9.0,12.0,4.0,17.0,9.0,14.0,13.0,2.0
142,142,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,31.0,5.0,10.0,11.0,45.0,7.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
143,143,16.0,15.0,38.0,42.0,9.0,10.0,18.0,24.0,5.0,37.0,17.0,55.0,5.0,26.0,16.0,8.0,12.0,21.0,10.0,6.0,40.0,7.0,14.0,27.0,49.0,6.0,21.0,8.0,10.0,44.0,25.0,5.0,5.0,6.0,3.0,30.0,9.0,22.0,9.0,27.0,45.0,58.0,13.0,6.0,18.0,10.0,13.0,14.0,3.0
144,144,9.0,43.0,37.0,58.0,8.0,10.0,5.0,24.0,23.0,42.0,17.0,56.0,20.0,13.0,48.0,2.0,12.0,17.0,10.0,43.0,45.0,39.0,14.0,34.0,56.0,35.0,40.0,5.0,10.0,43.0,25.0,39.0,38.0,17.0,43.0,30.0,9.0,22.0,43.0,21.0,53.0,56.0,14.0,6.0,18.0,9.0,14.0,48.0,13.0
145,145,11.0,5.0,14.0,27.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,12.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,11.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,1.0
146,146,11.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,34.0,47.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,23.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,4.0,6.0,2.0,19.0,25.0,4.0,3.0,26.0,27.0,30.0,34.0,25.0,20.0,2.0,25.0,27.0,9.0,15.0,5.0,6.0,8.0,7.0,8.0,37.0
147,147,40.0,18.0,4.0,64.0,16.0,1.0,,40.0,15.0,8.0,1.0,16.0,23.0,45.0,56.0,9.0,7.0,35.0,1.0,16.0,1.0,13.0,1.0,3.0,14.0,41.0,1.0,50.0,3.0,1.0,3.0,46.0,16.0,46.0,22.0,23.0,22.0,3.0,19.0,32.0,17.0,1.0,59.0,29.0,1.0,7.0,4.0,1.0,29.0
148,148,29.0,45.0,27.0,13.0,33.0,14.0,14.0,20.0,27.0,28.0,25.0,30.0,15.0,41.0,24.0,35.0,22.0,13.0,21.0,46.0,37.0,50.0,24.0,20.0,21.0,15.0,16.0,15.0,12.0,33.0,28.0,30.0,31.0,14.0,40.0,14.0,39.0,33.0,33.0,19.0,26.0,21.0,26.0,21.0,7.0,34.0,19.0,29.0,17.0
149,149,11.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,34.0,47.0,4.0,10.0,4.0,28.0,5.0,7.0,9.0,23.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,4.0,6.0,2.0,19.0,25.0,4.0,3.0,26.0,3.0,30.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,15.0,5.0,6.0,8.0,7.0,8.0,1.0
150,150,14.0,11.0,20.0,18.0,5.0,7.0,,3.0,38.0,23.0,10.0,7.0,7.0,35.0,36.0,5.0,4.0,4.0,2.0,10.0,8.0,2.0,9.0,11.0,3.0,2.0,5.0,46.0,18.0,7.0,7.0,35.0,44.0,5.0,7.0,27.0,4.0,15.0,3.0,37.0,38.0,8.0,7.0,10.0,2.0,6.0,26.0,57.0,6.0
151,151,26.0,10.0,41.0,34.0,22.0,3.0,16.0,6.0,8.0,50.0,3.0,46.0,2.0,35.0,3.0,1.0,10.0,8.0,4.0,38.0,5.0,10.0,11.0,15.0,32.0,8.0,20.0,18.0,17.0,2.0,14.0,2.0,2.0,2.0,4.0,16.0,7.0,37.0,8.0,14.0,6.0,10.0,3.0,8.0,31.0,2.0,23.0,16.0,4.0
152,152,21.0,39.0,33.0,55.0,9.0,10.0,5.0,12.0,6.0,35.0,17.0,31.0,20.0,13.0,4.0,2.0,12.0,20.0,4.0,41.0,42.0,35.0,14.0,27.0,56.0,4.0,22.0,1.0,10.0,43.0,21.0,5.0,40.0,6.0,4.0,12.0,34.0,22.0,43.0,26.0,42.0,15.0,22.0,6.0,17.0,51.0,14.0,48.0,13.0
153,153,11.0,5.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,45.0,7.0,8.0,1.0
154,154,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,27.0,26.0,30.0,15.0,45.0,39.0,6.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,20.0,17.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
155,155,21.0,39.0,33.0,40.0,9.0,10.0,5.0,12.0,6.0,38.0,17.0,31.0,18.0,13.0,4.0,2.0,12.0,20.0,4.0,41.0,42.0,35.0,14.0,27.0,56.0,4.0,22.0,6.0,10.0,43.0,21.0,5.0,40.0,6.0,4.0,12.0,34.0,22.0,43.0,26.0,42.0,15.0,22.0,6.0,17.0,51.0,14.0,48.0,13.0
156,156,15.0,8.0,20.0,11.0,5.0,7.0,21.0,3.0,2.0,22.0,7.0,6.0,7.0,33.0,5.0,7.0,47.0,5.0,2.0,5.0,2.0,6.0,9.0,10.0,48.0,3.0,5.0,29.0,5.0,7.0,5.0,7.0,47.0,4.0,9.0,24.0,3.0,28.0,3.0,39.0,46.0,8.0,10.0,14.0,2.0,13.0,26.0,9.0,6.0
157,157,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,38.0,52.0,6.0,32.0,5.0,7.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
158,158,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,4.0,7.0,33.0,7.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,2.0,9.0,18.0,27.0,18.0,1.0,1.0,1.0,1.0,3.0,6.0,30.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
159,159,37.0,56.0,3.0,4.0,15.0,33.0,1.0,35.0,43.0,6.0,13.0,15.0,22.0,14.0,26.0,21.0,24.0,31.0,33.0,46.0,15.0,60.0,15.0,5.0,19.0,43.0,9.0,24.0,1.0,12.0,35.0,4.0,23.0,21.0,21.0,37.0,12.0,43.0,21.0,30.0,5.0,28.0,18.0,15.0,9.0,27.0,15.0,38.0,9.0
160,160,40.0,1.0,4.0,21.0,16.0,35.0,,40.0,7.0,,1.0,16.0,43.0,32.0,56.0,9.0,6.0,35.0,1.0,18.0,1.0,62.0,1.0,3.0,14.0,41.0,4.0,9.0,3.0,1.0,1.0,1.0,16.0,1.0,1.0,20.0,6.0,,35.0,32.0,18.0,34.0,60.0,29.0,1.0,1.0,17.0,4.0,5.0
161,161,11.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,4.0,34.0,4.0,10.0,4.0,35.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,8.0,4.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,7.0,8.0,1.0
162,162,13.0,7.0,20.0,6.0,4.0,7.0,11.0,3.0,3.0,21.0,8.0,7.0,7.0,32.0,1.0,6.0,3.0,5.0,2.0,10.0,7.0,2.0,9.0,11.0,3.0,13.0,4.0,20.0,5.0,7.0,7.0,4.0,4.0,5.0,7.0,27.0,3.0,26.0,3.0,39.0,35.0,7.0,8.0,1.0,3.0,6.0,5.0,9.0,6.0
163,163,5.0,12.0,24.0,41.0,23.0,4.0,8.0,10.0,17.0,30.0,7.0,4.0,3.0,35.0,3.0,1.0,14.0,28.0,24.0,21.0,27.0,5.0,37.0,13.0,53.0,10.0,14.0,17.0,18.0,4.0,18.0,26.0,10.0,7.0,2.0,22.0,8.0,12.0,8.0,17.0,29.0,12.0,11.0,3.0,11.0,7.0,4.0,11.0,11.0
164,164,13.0,6.0,17.0,10.0,4.0,7.0,11.0,3.0,3.0,30.0,10.0,7.0,6.0,30.0,3.0,6.0,4.0,3.0,2.0,33.0,10.0,3.0,8.0,9.0,5.0,13.0,4.0,45.0,6.0,7.0,7.0,8.0,9.0,30.0,10.0,23.0,3.0,11.0,39.0,18.0,40.0,64.0,16.0,2.0,2.0,43.0,29.0,7.0,6.0
165,165,18.0,42.0,33.0,44.0,31.0,10.0,5.0,29.0,20.0,35.0,17.0,55.0,5.0,14.0,6.0,8.0,12.0,20.0,10.0,6.0,45.0,38.0,14.0,27.0,57.0,32.0,22.0,6.0,10.0,44.0,25.0,4.0,5.0,6.0,41.0,31.0,33.0,22.0,9.0,21.0,52.0,17.0,3.0,4.0,17.0,51.0,14.0,49.0,13.0
166,166,11.0,31.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,41.0,4.0,33.0,5.0,7.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,20.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,8.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,8.0,1.0
167,167,11.0,5.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,,10.0,4.0,33.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,7.0,7.0,43.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,45.0,7.0,8.0,1.0
168,168,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,22.0,1.0,33.0,5.0,7.0,6.0,14.0,5.0,3.0,23.0,6.0,6.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
169,169,13.0,6.0,17.0,10.0,5.0,4.0,9.0,31.0,1.0,24.0,11.0,7.0,6.0,30.0,34.0,5.0,3.0,3.0,2.0,10.0,10.0,3.0,8.0,9.0,5.0,13.0,4.0,18.0,6.0,7.0,7.0,8.0,9.0,7.0,10.0,27.0,3.0,28.0,4.0,37.0,40.0,19.0,16.0,2.0,2.0,43.0,29.0,7.0,45.0
170,170,11.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,4.0,34.0,4.0,10.0,4.0,35.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,48.0,7.0,6.0,2.0,19.0,8.0,4.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,7.0,8.0,1.0
171,171,5.0,30.0,23.0,49.0,24.0,18.0,9.0,14.0,17.0,29.0,29.0,27.0,9.0,30.0,41.0,29.0,29.0,29.0,24.0,20.0,21.0,23.0,25.0,9.0,5.0,13.0,4.0,16.0,29.0,28.0,26.0,42.0,42.0,35.0,32.0,19.0,31.0,11.0,40.0,18.0,32.0,59.0,38.0,40.0,30.0,52.0,4.0,23.0,40.0
172,172,5.0,12.0,24.0,41.0,23.0,4.0,8.0,10.0,17.0,30.0,7.0,4.0,3.0,35.0,3.0,1.0,14.0,28.0,24.0,21.0,27.0,5.0,36.0,13.0,6.0,10.0,14.0,17.0,18.0,4.0,18.0,26.0,10.0,7.0,2.0,22.0,8.0,12.0,8.0,18.0,28.0,12.0,11.0,3.0,11.0,37.0,4.0,11.0,11.0
173,173,5.0,12.0,24.0,41.0,23.0,4.0,8.0,10.0,17.0,30.0,7.0,4.0,6.0,35.0,3.0,1.0,14.0,28.0,24.0,21.0,27.0,5.0,13.0,23.0,53.0,10.0,14.0,17.0,18.0,4.0,18.0,7.0,10.0,7.0,2.0,22.0,8.0,12.0,8.0,17.0,28.0,12.0,11.0,3.0,11.0,7.0,4.0,11.0,11.0
174,174,28.0,45.0,26.0,12.0,33.0,8.0,21.0,21.0,27.0,27.0,26.0,28.0,15.0,41.0,37.0,6.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,20.0,17.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,46.0,26.0,33.0,7.0,34.0,19.0,36.0,17.0
175,175,26.0,10.0,41.0,34.0,10.0,3.0,16.0,6.0,8.0,50.0,3.0,46.0,2.0,35.0,3.0,1.0,10.0,8.0,4.0,8.0,5.0,10.0,11.0,15.0,32.0,8.0,20.0,18.0,17.0,7.0,2.0,2.0,2.0,2.0,4.0,16.0,7.0,37.0,8.0,14.0,6.0,10.0,3.0,8.0,24.0,2.0,23.0,16.0,22.0
176,176,5.0,29.0,22.0,47.0,4.0,4.0,9.0,11.0,17.0,31.0,32.0,2.0,20.0,13.0,7.0,4.0,16.0,19.0,8.0,1.0,7.0,23.0,25.0,23.0,53.0,19.0,25.0,16.0,18.0,27.0,5.0,27.0,35.0,7.0,33.0,23.0,8.0,11.0,28.0,18.0,32.0,63.0,21.0,3.0,10.0,36.0,40.0,48.0,10.0
177,177,23.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,4.0,43.0,4.0,10.0,4.0,33.0,5.0,7.0,9.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,4.0,3.0,7.0,3.0,30.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,15.0,5.0,6.0,8.0,7.0,8.0,1.0
178,178,13.0,7.0,20.0,6.0,4.0,7.0,11.0,3.0,3.0,21.0,10.0,8.0,6.0,28.0,1.0,6.0,4.0,5.0,2.0,32.0,7.0,2.0,9.0,11.0,3.0,2.0,4.0,18.0,6.0,7.0,5.0,4.0,4.0,5.0,7.0,27.0,3.0,26.0,3.0,39.0,35.0,19.0,8.0,1.0,3.0,6.0,5.0,9.0,6.0
179,179,11.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,4.0,34.0,4.0,52.0,4.0,45.0,5.0,7.0,9.0,24.0,6.0,5.0,24.0,32.0,7.0,35.0,8.0,25.0,6.0,2.0,19.0,39.0,4.0,3.0,7.0,3.0,3.0,34.0,26.0,20.0,41.0,25.0,27.0,9.0,15.0,5.0,6.0,46.0,7.0,8.0,1.0
180,180,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,22.0,1.0,33.0,5.0,7.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,27.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,15.0,7.0,5.0,1.0,17.0,4.0,5.0
181,181,26.0,10.0,41.0,34.0,10.0,3.0,16.0,6.0,8.0,50.0,3.0,46.0,2.0,35.0,3.0,3.0,10.0,8.0,4.0,8.0,5.0,10.0,11.0,15.0,32.0,8.0,20.0,18.0,17.0,2.0,14.0,2.0,2.0,2.0,4.0,16.0,7.0,35.0,8.0,14.0,6.0,6.0,3.0,8.0,24.0,2.0,23.0,16.0,4.0
182,182,28.0,45.0,27.0,13.0,10.0,14.0,14.0,20.0,27.0,28.0,25.0,30.0,15.0,41.0,24.0,3.0,22.0,13.0,21.0,46.0,37.0,50.0,24.0,20.0,21.0,15.0,16.0,15.0,16.0,33.0,28.0,30.0,31.0,14.0,40.0,14.0,44.0,33.0,33.0,19.0,26.0,21.0,26.0,21.0,7.0,34.0,19.0,37.0,17.0
183,183,9.0,14.0,34.0,54.0,8.0,10.0,5.0,12.0,6.0,36.0,17.0,54.0,5.0,49.0,53.0,1.0,12.0,11.0,10.0,7.0,45.0,8.0,14.0,27.0,59.0,4.0,24.0,6.0,10.0,43.0,23.0,4.0,5.0,6.0,6.0,32.0,9.0,22.0,9.0,21.0,53.0,15.0,12.0,4.0,18.0,9.0,14.0,13.0,2.0
184,184,2.0,20.0,11.0,48.0,26.0,13.0,,9.0,24.0,10.0,39.0,20.0,28.0,7.0,30.0,20.0,40.0,27.0,14.0,25.0,19.0,18.0,43.0,8.0,35.0,11.0,32.0,48.0,23.0,18.0,10.0,13.0,20.0,29.0,16.0,5.0,19.0,6.0,31.0,35.0,22.0,39.0,30.0,30.0,26.0,39.0,32.0,20.0,32.0
185,185,21.0,39.0,33.0,55.0,9.0,10.0,5.0,12.0,6.0,35.0,31.0,47.0,2.0,36.0,4.0,3.0,12.0,20.0,4.0,41.0,34.0,35.0,14.0,27.0,56.0,4.0,22.0,6.0,10.0,43.0,21.0,5.0,40.0,41.0,4.0,12.0,34.0,22.0,43.0,26.0,42.0,15.0,22.0,6.0,17.0,51.0,14.0,48.0,13.0
186,186,11.0,5.0,14.0,50.0,3.0,2.0,7.0,4.0,4.0,34.0,4.0,10.0,12.0,42.0,15.0,49.0,9.0,24.0,9.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,11.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,6.0,5.0,6.0,8.0,8.0,31.0,1.0
187,187,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,7.0,7.0,35.0,1.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,49.0
188,188,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,2.0,7.0,6.0,33.0,11.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,6.0,9.0,17.0,3.0,1.0,1.0,24.0,42.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,7.0,5.0,1.0,17.0,4.0,5.0
189,189,13.0,7.0,20.0,6.0,10.0,23.0,11.0,3.0,3.0,21.0,10.0,7.0,6.0,33.0,3.0,6.0,3.0,5.0,2.0,10.0,7.0,2.0,9.0,11.0,3.0,2.0,14.0,18.0,5.0,7.0,7.0,8.0,25.0,5.0,7.0,27.0,3.0,26.0,3.0,39.0,3.0,7.0,8.0,1.0,3.0,6.0,5.0,9.0,6.0
190,190,23.0,5.0,14.0,50.0,3.0,2.0,6.0,4.0,4.0,34.0,4.0,10.0,6.0,36.0,5.0,3.0,3.0,24.0,6.0,5.0,2.0,6.0,7.0,35.0,8.0,7.0,6.0,2.0,19.0,39.0,4.0,3.0,7.0,3.0,3.0,34.0,2.0,20.0,2.0,25.0,27.0,9.0,15.0,5.0,6.0,8.0,7.0,8.0,1.0
191,191,19.0,14.0,29.0,46.0,8.0,19.0,5.0,24.0,23.0,32.0,17.0,53.0,18.0,13.0,20.0,10.0,12.0,21.0,30.0,6.0,45.0,8.0,14.0,32.0,60.0,33.0,26.0,1.0,10.0,43.0,25.0,5.0,5.0,16.0,45.0,31.0,9.0,22.0,43.0,26.0,52.0,17.0,23.0,6.0,17.0,56.0,14.0,13.0,13.0
192,192,13.0,7.0,20.0,7.0,4.0,7.0,11.0,3.0,3.0,21.0,10.0,7.0,7.0,45.0,3.0,14.0,4.0,5.0,2.0,10.0,7.0,2.0,9.0,11.0,3.0,2.0,14.0,18.0,5.0,7.0,5.0,8.0,4.0,5.0,9.0,25.0,3.0,26.0,3.0,39.0,35.0,7.0,8.0,1.0,3.0,6.0,5.0,9.0,6.0
193,193,26.0,3.0,41.0,30.0,10.0,3.0,16.0,6.0,32.0,52.0,3.0,3.0,2.0,21.0,52.0,39.0,32.0,9.0,4.0,40.0,5.0,10.0,49.0,15.0,34.0,24.0,20.0,53.0,13.0,43.0,2.0,2.0,2.0,2.0,35.0,7.0,41.0,38.0,27.0,11.0,7.0,41.0,45.0,48.0,32.0,30.0,23.0,32.0,35.0
194,194,21.0,39.0,33.0,55.0,9.0,10.0,5.0,12.0,6.0,35.0,17.0,31.0,18.0,13.0,4.0,2.0,12.0,20.0,4.0,41.0,42.0,35.0,14.0,27.0,56.0,4.0,22.0,1.0,10.0,43.0,21.0,5.0,40.0,6.0,4.0,12.0,34.0,22.0,43.0,26.0,42.0,15.0,22.0,6.0,17.0,51.0,14.0,48.0,13.0
195,195,23.0,50.0,46.0,24.0,20.0,20.0,10.0,27.0,35.0,43.0,23.0,36.0,12.0,45.0,15.0,45.0,20.0,7.0,4.0,30.0,30.0,47.0,19.0,14.0,31.0,20.0,18.0,11.0,16.0,20.0,16.0,17.0,23.0,11.0,34.0,13.0,38.0,24.0,29.0,12.0,2.0,24.0,27.0,22.0,23.0,27.0,16.0,24.0,19.0
196,196,13.0,7.0,20.0,10.0,5.0,8.0,,31.0,1.0,24.0,11.0,7.0,7.0,36.0,1.0,40.0,14.0,5.0,2.0,33.0,10.0,3.0,10.0,9.0,5.0,13.0,4.0,18.0,6.0,7.0,7.0,8.0,9.0,5.0,7.0,27.0,3.0,16.0,,37.0,40.0,19.0,16.0,2.0,38.0,44.0,29.0,7.0,46.0
